path,expected,predicted,confidence,correct
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_000.jpg,not_tsuchinoko,tsuchinoko_candidate,0.596472,false
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_001.jpg,not_tsuchinoko,tsuchinoko_candidate,0.517158,false
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_002.jpg,not_tsuchinoko,not_tsuchinoko,0.988962,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_003.jpg,not_tsuchinoko,tsuchinoko_candidate,0.900100,false
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_004.jpg,not_tsuchinoko,not_tsuchinoko,0.670313,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_005.jpg,not_tsuchinoko,not_tsuchinoko,0.998516,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_006.jpg,not_tsuchinoko,tsuchinoko_candidate,0.729869,false
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_007.jpg,not_tsuchinoko,tsuchinoko_candidate,0.974879,false
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_008.jpg,not_tsuchinoko,not_tsuchinoko,0.668579,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_009.jpg,not_tsuchinoko,not_tsuchinoko,0.995958,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_010.jpg,not_tsuchinoko,not_tsuchinoko,0.944548,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_011.jpg,not_tsuchinoko,not_tsuchinoko,0.869883,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_012.jpg,not_tsuchinoko,not_tsuchinoko,0.744943,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_013.jpg,not_tsuchinoko,not_tsuchinoko,0.673292,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_014.jpg,not_tsuchinoko,not_tsuchinoko,0.507535,true
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_015.jpg,not_tsuchinoko,not_tsuchinoko,0.669458,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_000.jpg,not_tsuchinoko,not_tsuchinoko,0.938596,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_001.jpg,not_tsuchinoko,tsuchinoko_candidate,0.659286,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_002.jpg,not_tsuchinoko,tsuchinoko_candidate,0.692079,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_003.jpg,not_tsuchinoko,tsuchinoko_candidate,0.733915,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_004.jpg,not_tsuchinoko,not_tsuchinoko,0.649836,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_005.jpg,not_tsuchinoko,not_tsuchinoko,0.975066,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_006.jpg,not_tsuchinoko,tsuchinoko_candidate,0.521234,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_007.jpg,not_tsuchinoko,tsuchinoko_candidate,0.899890,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_008.jpg,not_tsuchinoko,tsuchinoko_candidate,0.586892,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_009.jpg,not_tsuchinoko,not_tsuchinoko,0.567812,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_010.jpg,not_tsuchinoko,tsuchinoko_candidate,0.746420,false
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_011.jpg,not_tsuchinoko,not_tsuchinoko,0.776465,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_012.jpg,not_tsuchinoko,not_tsuchinoko,0.860761,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_013.jpg,not_tsuchinoko,not_tsuchinoko,0.977926,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_014.jpg,not_tsuchinoko,not_tsuchinoko,0.836068,true
augmented/val/not_tsuchinoko/negative_branch_lowlight_grass_02_aug_015.jpg,not_tsuchinoko,tsuchinoko_candidate,0.883026,false
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_000.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_001.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_002.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_003.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_004.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_005.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_006.jpg,not_tsuchinoko,not_tsuchinoko,0.990228,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_007.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_008.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_009.jpg,not_tsuchinoko,not_tsuchinoko,0.999748,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_010.jpg,not_tsuchinoko,not_tsuchinoko,0.999954,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_011.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_012.jpg,not_tsuchinoko,not_tsuchinoko,0.999355,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_013.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_014.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_hose_grass_01_aug_015.jpg,not_tsuchinoko,not_tsuchinoko,1.000000,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_000.jpg,not_tsuchinoko,not_tsuchinoko,0.659463,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_001.jpg,not_tsuchinoko,not_tsuchinoko,0.870608,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_002.jpg,not_tsuchinoko,not_tsuchinoko,0.994651,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_003.jpg,not_tsuchinoko,not_tsuchinoko,0.953238,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_004.jpg,not_tsuchinoko,not_tsuchinoko,0.976195,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_005.jpg,not_tsuchinoko,not_tsuchinoko,0.998839,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_006.jpg,not_tsuchinoko,not_tsuchinoko,0.996386,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_007.jpg,not_tsuchinoko,not_tsuchinoko,0.884419,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_008.jpg,not_tsuchinoko,tsuchinoko_candidate,0.879426,false
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_009.jpg,not_tsuchinoko,not_tsuchinoko,0.915070,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_010.jpg,not_tsuchinoko,not_tsuchinoko,0.633541,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_011.jpg,not_tsuchinoko,not_tsuchinoko,0.996416,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_012.jpg,not_tsuchinoko,not_tsuchinoko,0.888385,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_013.jpg,not_tsuchinoko,not_tsuchinoko,0.896374,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_014.jpg,not_tsuchinoko,not_tsuchinoko,0.978603,true
augmented/val/not_tsuchinoko/negative_ordinary_snake_wet_path_01_aug_015.jpg,not_tsuchinoko,not_tsuchinoko,0.951183,true
augmented/val/not_tsuchinoko/negative_vine_leaf_path_01_aug_000.jpg,not_tsuchinoko,not_tsuchinoko,0.991010,true
