path,expected,predicted,confidence,correct,copied_path
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_000.jpg,not_tsuchinoko,tsuchinoko_candidate,0.710050,false,models/hard_examples/false_positive/001_0_710050_negative_branch_forest_01_aug_000.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_001.jpg,not_tsuchinoko,tsuchinoko_candidate,0.911742,false,models/hard_examples/false_positive/002_0_911742_negative_branch_forest_01_aug_001.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_003.jpg,not_tsuchinoko,tsuchinoko_candidate,0.998795,false,models/hard_examples/false_positive/003_0_998795_negative_branch_forest_01_aug_003.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_004.jpg,not_tsuchinoko,tsuchinoko_candidate,0.944842,false,models/hard_examples/false_positive/004_0_944842_negative_branch_forest_01_aug_004.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_005.jpg,not_tsuchinoko,tsuchinoko_candidate,0.983233,false,models/hard_examples/false_positive/005_0_983233_negative_branch_forest_01_aug_005.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_006.jpg,not_tsuchinoko,tsuchinoko_candidate,0.890298,false,models/hard_examples/false_positive/006_0_890298_negative_branch_forest_01_aug_006.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_007.jpg,not_tsuchinoko,tsuchinoko_candidate,0.983139,false,models/hard_examples/false_positive/007_0_983139_negative_branch_forest_01_aug_007.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_008.jpg,not_tsuchinoko,tsuchinoko_candidate,0.850188,false,models/hard_examples/false_positive/008_0_850188_negative_branch_forest_01_aug_008.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_009.jpg,not_tsuchinoko,tsuchinoko_candidate,0.761792,false,models/hard_examples/false_positive/009_0_761792_negative_branch_forest_01_aug_009.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_014.jpg,not_tsuchinoko,tsuchinoko_candidate,0.501800,false,models/hard_examples/false_positive/010_0_501800_negative_branch_forest_01_aug_014.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_015.jpg,not_tsuchinoko,tsuchinoko_candidate,0.764018,false,models/hard_examples/false_positive/011_0_764018_negative_branch_forest_01_aug_015.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_016.jpg,not_tsuchinoko,tsuchinoko_candidate,0.905300,false,models/hard_examples/false_positive/012_0_905300_negative_branch_forest_01_aug_016.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_017.jpg,not_tsuchinoko,tsuchinoko_candidate,0.675006,false,models/hard_examples/false_positive/013_0_675006_negative_branch_forest_01_aug_017.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_019.jpg,not_tsuchinoko,tsuchinoko_candidate,0.719789,false,models/hard_examples/false_positive/014_0_719789_negative_branch_forest_01_aug_019.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_020.jpg,not_tsuchinoko,tsuchinoko_candidate,0.682621,false,models/hard_examples/false_positive/015_0_682621_negative_branch_forest_01_aug_020.jpg
augmented/val/not_tsuchinoko/negative_branch_forest_01_aug_023.jpg,not_tsuchinoko,tsuchinoko_candidate,0.950059,false,models/hard_examples/false_positive/016_0_950059_negative_branch_forest_01_aug_023.jpg
